latitude,longitude
42.32709,-71.06764
42.32709,-71.06764
42.25459,-71.12019
42.25459,-71.12019
42.25459,-71.12019
42.34594,-71.0709
42.34594,-71.0709
42.3511522,-71.0453487
42.356433,-71.1447537
42.356433,-71.1447537
42.356433,-71.1447537
42.34843,-71.08442
42.34843,-71.08442
42.337071,-71.076601
42.3299358,-71.0567618
42.337071,-71.076601
42.35064,-71.07645
42.35305,-71.13417
42.35305,-71.13417
42.35305,-71.13417
42.35305,-71.13417
42.35305,-71.13417
42.35305,-71.13417
42.35305,-71.13417
42.35305,-71.13417
42.35305,-71.13417
42.3564948,-71.1448963
42.3564948,-71.1448963
42.3564948,-71.1448963
42.3564948,-71.1448963
42.3564948,-71.1448963
42.3564948,-71.1448963
42.3564948,-71.1448963
42.3564948,-71.1448963
42.3564948,-71.1448963
42.3564948,-71.1448963
42.3564948,-71.1448963
42.3564948,-71.1448963
42.3564948,-71.1448963
42.3564948,-71.1448963
42.37369,-71.038873
42.37369,-71.038873
42.3739581,-71.0627509
42.3739581,-71.0627509
42.36102,-71.06319
42.36102,-71.06319
42.36102,-71.06319
42.36102,-71.06319
42.36102,-71.06319
42.36102,-71.06319
42.3527612,-71.1317906
42.3527612,-71.1317906
42.3527612,-71.1317906
42.3527612,-71.1317906
42.3527612,-71.1317906
42.3527612,-71.1317906
42.3527612,-71.1317906
42.3527612,-71.1317906
42.348701,-71.081632
42.35276,-71.13185
42.35276,-71.13185
42.38589,-71.00835
42.3689779,-71.0392087
42.3312513,-71.0412811
42.3312513,-71.0412811
42.3312513,-71.0412811
42.3312513,-71.0412811
42.3425747,-71.0972793
42.3435925,-71.0446669
42.3435925,-71.0446669
42.36338,-71.0526
42.36338,-71.0526
42.3544654,-71.0552987
42.3544654,-71.0552987
42.3544654,-71.0552987
42.3544654,-71.0552987
42.3544654,-71.0552987
42.353,-71.06405
42.35092,-71.07668
42.353,-71.06405
42.353,-71.06405
42.3872394,-71.016559
42.3872394,-71.016559
42.3872394,-71.016559
42.3801974,-71.0722733
42.3801974,-71.0722733
42.3801974,-71.0722733
42.3801974,-71.0722733
42.35806,-71.06972
42.35806,-71.06972
42.3631966,-71.0562794
42.3631966,-71.0562794
42.36405,-71.05368
42.34051,-71.052852
42.3225607,-71.1082688
42.3225607,-71.1082688
42.350431,-71.1686209
42.3574724,-71.0555973
42.3619686,-71.1449578
42.3619686,-71.1449578
42.3619686,-71.1449578
42.3619686,-71.1449578
42.3574724,-71.0555973
42.3574724,-71.0555973
42.3513773,-71.0654816
42.3513773,-71.0654816
42.3642277,-71.0325498
42.3642277,-71.0325498
42.3642277,-71.0325498
42.34995,-71.05033
42.34995,-71.05033
42.34995,-71.05033
42.34995,-71.05033
42.34995,-71.05033
42.3563133,-71.0607365
42.3563133,-71.0607365
N/A,N/A
42.33687,-71.05605
42.33687,-71.05605
42.33687,-71.05605
42.33687,-71.05605
42.33687,-71.05605
42.33687,-71.05605
42.33687,-71.05605
42.33687,-71.05605
42.33687,-71.05605
42.33687,-71.05605
